unique_id,state,Sector,No_of_Colleges,No_of_Companies,No_of_Colleges_Total,No_of_Companies_Total,College_Percentage,Company_Percentage
ID-00272,puducherry,Hotel Management,1.0,0.0,36.0,0.0,2.78,
ID-00273,puducherry,Medical & Pharmaceutical Industry,1.0,0.0,36.0,0.0,2.78,
ID-00274,puducherry,Sports & Health Industry,0.0,0.0,36.0,0.0,0.0,
ID-00275,puducherry,Tourism & Hospitality Industry,0.0,0.0,36.0,0.0,0.0,
ID-00276,punjab,Agricultural Industry,1.0,9.0,363.0,161.0,0.28,5.59
ID-00277,punjab,Chemical & Industrial Industry,3.0,17.0,363.0,161.0,0.83,10.56
ID-00278,punjab,Civil & Infrastructure Industry,6.0,6.0,363.0,161.0,1.65,3.73
ID-00279,punjab,Commercial & Supply Chain Industry,6.0,23.0,363.0,161.0,1.65,14.29
ID-00280,punjab,"Community, Personal & Social Services",190.0,28.0,363.0,161.0,52.34,17.39
ID-00281,punjab,Engineering Industry,83.0,46.0,363.0,161.0,22.87,28.57
ID-00282,punjab,General Services Sector,12.0,7.0,363.0,161.0,3.31,4.35
ID-00283,punjab,Hotel Management,19.0,6.0,363.0,161.0,5.23,3.73
ID-00284,punjab,Medical & Pharmaceutical Industry,31.0,11.0,363.0,161.0,8.54,6.83
ID-00285,punjab,Sports & Health Industry,7.0,8.0,363.0,161.0,1.93,4.97
ID-00286,punjab,Tourism & Hospitality Industry,5.0,0.0,363.0,161.0,1.38,0.0
ID-00287,rajasthan,Agricultural Industry,35.0,34.0,977.0,369.0,3.58,9.21
ID-00288,rajasthan,Chemical & Industrial Industry,16.0,45.0,977.0,369.0,1.64,12.2
ID-00289,rajasthan,Civil & Infrastructure Industry,3.0,22.0,977.0,369.0,0.31,5.96
ID-00290,rajasthan,Commercial & Supply Chain Industry,5.0,49.0,977.0,369.0,0.51,13.28
ID-00291,rajasthan,"Community, Personal & Social Services",656.0,59.0,977.0,369.0,67.14,15.99
ID-00292,rajasthan,Engineering Industry,89.0,93.0,977.0,369.0,9.11,25.2
ID-00293,rajasthan,General Services Sector,13.0,11.0,977.0,369.0,1.33,2.98
ID-00294,rajasthan,Hotel Management,61.0,18.0,977.0,369.0,6.24,4.88
ID-00295,rajasthan,Medical & Pharmaceutical Industry,74.0,12.0,977.0,369.0,7.57,3.25
ID-00296,rajasthan,Sports & Health Industry,21.0,24.0,977.0,369.0,2.15,6.5
ID-00297,rajasthan,Tourism & Hospitality Industry,4.0,2.0,977.0,369.0,0.41,0.54
ID-00298,sikkim,Agricultural Industry,0.0,0.0,11.0,0.0,0.0,
ID-00299,sikkim,Chemical & Industrial Industry,1.0,0.0,11.0,0.0,9.09,
ID-00300,sikkim,Civil & Infrastructure Industry,0.0,0.0,11.0,0.0,0.0,
ID-00301,sikkim,Commercial & Supply Chain Industry,0.0,0.0,11.0,0.0,0.0,
ID-00302,sikkim,"Community, Personal & Social Services",4.0,0.0,11.0,0.0,36.36,
ID-00303,sikkim,Engineering Industry,3.0,0.0,11.0,0.0,27.27,
ID-00304,sikkim,General Services Sector,1.0,0.0,11.0,0.0,9.09,
ID-00305,sikkim,Hotel Management,0.0,0.0,11.0,0.0,0.0,
ID-00306,sikkim,Medical & Pharmaceutical Industry,2.0,0.0,11.0,0.0,18.18,
ID-00307,sikkim,Sports & Health Industry,0.0,0.0,11.0,0.0,0.0,
ID-00308,sikkim,Tourism & Hospitality Industry,0.0,0.0,11.0,0.0,0.0,
ID-00309,tamil nadu,Agricultural Industry,59.0,52.0,1067.0,773.0,5.53,6.73
ID-00310,tamil nadu,Chemical & Industrial Industry,13.0,51.0,1067.0,773.0,1.22,6.6
ID-00311,tamil nadu,Civil & Infrastructure Industry,47.0,41.0,1067.0,773.0,4.4,5.3
ID-00312,tamil nadu,Commercial & Supply Chain Industry,1.0,138.0,1067.0,773.0,0.09,17.85
ID-00313,tamil nadu,"Community, Personal & Social Services",353.0,95.0,1067.0,773.0,33.08,12.29
ID-00314,tamil nadu,Engineering Industry,462.0,255.0,1067.0,773.0,43.3,32.99
ID-00315,tamil nadu,General Services Sector,35.0,19.0,1067.0,773.0,3.28,2.46
ID-00316,tamil nadu,Hotel Management,15.0,23.0,1067.0,773.0,1.41,2.98
ID-00317,tamil nadu,Medical & Pharmaceutical Industry,56.0,53.0,1067.0,773.0,5.25,6.86
ID-00318,tamil nadu,Sports & Health Industry,26.0,45.0,1067.0,773.0,2.44,5.82
ID-00319,tamil nadu,Tourism & Hospitality Industry,0.0,1.0,1067.0,773.0,0.0,0.13
ID-00320,telangana,Agricultural Industry,0.0,37.0,463.0,811.0,0.0,4.56
ID-00321,telangana,Chemical & Industrial Industry,4.0,47.0,463.0,811.0,0.86,5.8
ID-00322,telangana,Civil & Infrastructure Industry,10.0,73.0,463.0,811.0,2.16,9.0
ID-00323,telangana,Commercial & Supply Chain Industry,15.0,88.0,463.0,811.0,3.24,10.85
ID-00324,telangana,"Community, Personal & Social Services",113.0,100.0,463.0,811.0,24.41,12.33
ID-00325,telangana,Engineering Industry,186.0,329.0,463.0,811.0,40.17,40.57
ID-00326,telangana,General Services Sector,5.0,49.0,463.0,811.0,1.08,6.04
ID-00327,telangana,Hotel Management,16.0,22.0,463.0,811.0,3.46,2.71
ID-00328,telangana,Medical & Pharmaceutical Industry,84.0,31.0,463.0,811.0,18.14,3.82
ID-00329,telangana,Sports & Health Industry,1.0,35.0,463.0,811.0,0.22,4.32
ID-00330,telangana,Tourism & Hospitality Industry,29.0,0.0,463.0,811.0,6.26,0.0
ID-00331,the dadra & nagar haveli and daman & diu,Agricultural Industry,0.0,0.0,9.0,0.0,0.0,
ID-00332,the dadra & nagar haveli and daman & diu,Chemical & Industrial Industry,0.0,0.0,9.0,0.0,0.0,
ID-00333,the dadra & nagar haveli and daman & diu,Civil & Infrastructure Industry,0.0,0.0,9.0,0.0,0.0,
ID-00334,the dadra & nagar haveli and daman & diu,Commercial & Supply Chain Industry,0.0,0.0,9.0,0.0,0.0,
ID-00335,the dadra & nagar haveli and daman & diu,"Community, Personal & Social Services",2.0,0.0,9.0,0.0,22.22,
ID-00336,the dadra & nagar haveli and daman & diu,Engineering Industry,5.0,0.0,9.0,0.0,55.56,
ID-00337,the dadra & nagar haveli and daman & diu,General Services Sector,1.0,0.0,9.0,0.0,11.11,
ID-00338,the dadra & nagar haveli and daman & diu,Hotel Management,0.0,0.0,9.0,0.0,0.0,
ID-00339,the dadra & nagar haveli and daman & diu,Medical & Pharmaceutical Industry,1.0,0.0,9.0,0.0,11.11,
ID-00340,the dadra & nagar haveli and daman & diu,Sports & Health Industry,0.0,0.0,9.0,0.0,0.0,
ID-00341,the dadra & nagar haveli and daman & diu,Tourism & Hospitality Industry,0.0,0.0,9.0,0.0,0.0,
ID-00342,tripura,Agricultural Industry,3.0,2.0,20.0,8.0,15.0,25.0
ID-00343,tripura,Chemical & Industrial Industry,0.0,2.0,20.0,8.0,0.0,25.0
ID-00344,tripura,Civil & Infrastructure Industry,1.0,1.0,20.0,8.0,5.0,12.5
ID-00345,tripura,Commercial & Supply Chain Industry,0.0,0.0,20.0,8.0,0.0,0.0
ID-00346,tripura,"Community, Personal & Social Services",3.0,2.0,20.0,8.0,15.0,25.0
ID-00347,tripura,Engineering Industry,7.0,1.0,20.0,8.0,35.0,12.5
ID-00348,tripura,General Services Sector,2.0,0.0,20.0,8.0,10.0,0.0
ID-00349,tripura,Hotel Management,1.0,0.0,20.0,8.0,5.0,0.0
ID-00350,tripura,Medical & Pharmaceutical Industry,2.0,0.0,20.0,8.0,10.0,0.0
ID-00351,tripura,Sports & Health Industry,1.0,0.0,20.0,8.0,5.0,0.0
ID-00352,tripura,Tourism & Hospitality Industry,0.0,0.0,20.0,8.0,0.0,0.0
ID-00353,uttar pradesh,Agricultural Industry,13.0,114.0,1628.0,1140.0,0.8,10.0
ID-00354,uttar pradesh,Chemical & Industrial Industry,27.0,85.0,1628.0,1140.0,1.66,7.46
ID-00355,uttar pradesh,Civil & Infrastructure Industry,18.0,82.0,1628.0,1140.0,1.11,7.19
ID-00356,uttar pradesh,Commercial & Supply Chain Industry,6.0,146.0,1628.0,1140.0,0.37,12.81
ID-00357,uttar pradesh,"Community, Personal & Social Services",957.0,151.0,1628.0,1140.0,58.78,13.25
ID-00358,uttar pradesh,Engineering Industry,198.0,314.0,1628.0,1140.0,12.16,27.54
ID-00359,uttar pradesh,General Services Sector,14.0,92.0,1628.0,1140.0,0.86,8.07
ID-00360,uttar pradesh,Hotel Management,243.0,35.0,1628.0,1140.0,14.93,3.07
ID-00361,uttar pradesh,Medical & Pharmaceutical Industry,143.0,53.0,1628.0,1140.0,8.78,4.65
ID-00362,uttar pradesh,Sports & Health Industry,4.0,64.0,1628.0,1140.0,0.25,5.61
ID-00363,uttar pradesh,Tourism & Hospitality Industry,5.0,4.0,1628.0,1140.0,0.31,0.35
ID-00364,uttarakhand,Agricultural Industry,8.0,4.0,122.0,88.0,6.56,4.55
ID-00365,uttarakhand,Chemical & Industrial Industry,2.0,11.0,122.0,88.0,1.64,12.5
ID-00366,uttarakhand,Civil & Infrastructure Industry,1.0,7.0,122.0,88.0,0.82,7.95
ID-00367,uttarakhand,Commercial & Supply Chain Industry,0.0,15.0,122.0,88.0,0.0,17.05
ID-00368,uttarakhand,"Community, Personal & Social Services",51.0,14.0,122.0,88.0,41.8,15.91
ID-00369,uttarakhand,Engineering Industry,31.0,18.0,122.0,88.0,25.41,20.45
ID-00370,uttarakhand,General Services Sector,0.0,2.0,122.0,88.0,0.0,2.27
ID-00371,uttarakhand,Hotel Management,10.0,4.0,122.0,88.0,8.2,4.55
ID-00372,uttarakhand,Medical & Pharmaceutical Industry,13.0,4.0,122.0,88.0,10.66,4.55
ID-00373,uttarakhand,Sports & Health Industry,3.0,7.0,122.0,88.0,2.46,7.95
ID-00374,uttarakhand,Tourism & Hospitality Industry,3.0,2.0,122.0,88.0,2.46,2.27
ID-00375,west bengal,Agricultural Industry,1.0,33.0,552.0,559.0,0.18,5.9
ID-00376,west bengal,Chemical & Industrial Industry,2.0,44.0,552.0,559.0,0.36,7.87
ID-00377,west bengal,Civil & Infrastructure Industry,2.0,41.0,552.0,559.0,0.36,7.33
ID-00378,west bengal,Commercial & Supply Chain Industry,2.0,110.0,552.0,559.0,0.36,19.68
ID-00379,west bengal,"Community, Personal & Social Services",403.0,105.0,552.0,559.0,73.01,18.78
ID-00380,west bengal,Engineering Industry,78.0,146.0,552.0,559.0,14.13,26.12
ID-00381,west bengal,General Services Sector,13.0,18.0,552.0,559.0,2.36,3.22
ID-00382,west bengal,Hotel Management,29.0,22.0,552.0,559.0,5.25,3.94
ID-00383,west bengal,Medical & Pharmaceutical Industry,15.0,20.0,552.0,559.0,2.72,3.58
ID-00384,west bengal,Sports & Health Industry,2.0,18.0,552.0,559.0,0.36,3.22
ID-00385,west bengal,Tourism & Hospitality Industry,5.0,2.0,552.0,559.0,0.91,0.36
